floor,A,B,C,O,symbol,bid_size,bid_price,ask_size,ask_price
12:57:00.000000000,0.99,0.01,,,SPXW__220302P04390000,25,17.80,21,18.30
12:58:00.000000000,1.00,,,,SPXW__220302P04390000,1,17.80,36,18.30
12:59:00.000000000,1.00,,,,SPXW__220302P04390000,7,16.30,37,16.70
13:00:00.000000000,0.76,0.21,0.01,0.03,SPXW__220302P04390000,100,15.00,2,15.30
13:01:00.000000000,0.88,0.12,,,SPXW__220302P04390000,13,13.80,5,14.10
13:02:00.000000000,1.00,0.00,,,SPXW__220302P04390000,47,12.70,12,13.00
13:03:00.000000000,0.94,0.06,,,SPXW__220302P04390000,4,12.50,4,12.80
13:04:00.000000000,0.94,0.06,,,SPXW__220302P04390000,7,11.70,32,12.00
13:05:00.000000000,1.00,,,,SPXW__220302P04390000,63,11.10,7,11.40
13:06:00.000000000,0.94,0.02,0.01,0.03,SPXW__220302P04390000,59,11.80,2,12.10
13:07:00.000000000,0.91,0.04,,0.06,SPXW__220302P04390000,9,10.70,2,10.90
13:08:00.000000000,0.85,0.14,,0.01,SPXW__220302P04390000,27,10.80,37,11.20
13:09:00.000000000,0.87,0.00,,0.13,SPXW__220302P04390000,52,11.20,9,11.50
13:10:00.000000000,0.88,0.08,,0.04,SPXW__220302P04390000,65,10.00,63,10.40
13:11:00.000000000,0.80,0.20,,,SPXW__220302P04390000,54,9.80,24,10.10
13:12:00.000000000,0.93,0.07,,,SPXW__220302P04390000,51,9.80,33,10.10
13:13:00.000000000,0.86,0.02,,0.12,SPXW__220302P04390000,19,10.60,58,10.90
13:14:00.000000000,0.79,0.21,,0.00,SPXW__220302P04390000,3,10.20,2,10.60
13:15:00.000000000,0.98,0.00,,0.01,SPXW__220302P04390000,33,10.10,44,10.40
13:16:00.000000000,0.82,0.06,0.00,0.12,SPXW__220302P04390000,60,10.30,54,10.70
13:17:00.000000000,0.82,0.10,,0.08,SPXW__220302P04390000,2,10.70,50,11.00
13:18:00.000000000,0.95,0.05,,0.00,SPXW__220302P04390000,2,10.90,20,11.20
13:19:00.000000000,1.00,,,0.00,SPXW__220302P04390000,39,11.00,18,11.30
13:20:00.000000000,0.86,0.14,,,SPXW__220302P04390000,22,10.50,43,10.80
13:21:00.000000000,0.82,0.18,,,SPXW__220302P04390000,39,10.20,61,10.50
13:22:00.000000000,0.90,,,0.10,SPXW__220302P04390000,11,11.00,15,11.30
13:23:00.000000000,0.80,0.01,,0.19,SPXW__220302P04390000,47,11.30,62,11.70
13:24:00.000000000,0.97,0.01,,0.02,SPXW__220302P04390000,2,12.20,7,12.40
13:25:00.000000000,0.86,0.06,,0.08,SPXW__220302P04390000,16,10.70,26,11.00
13:26:00.000000000,0.95,,,0.05,SPXW__220302P04390000,59,10.70,61,11.10
13:27:00.000000000,1.00,,,,SPXW__220302P04390000,13,10.90,48,11.20
13:28:00.000000000,0.98,0.02,,,SPXW__220302P04390000,29,10.60,77,11.00
13:29:00.000000000,0.98,0.02,,,SPXW__220302P04390000,13,11.30,43,11.60
13:30:00.000000000,0.96,0.04,,,SPXW__220302P04390000,23,10.00,2,10.20
13:31:00.000000000,0.55,0.45,,,SPXW__220302P04390000,31,9.50,16,9.70
13:32:00.000000000,0.69,0.21,0.02,0.08,SPXW__220302P04390000,15,9.20,100,9.50
13:33:00.000000000,0.97,0.03,,,SPXW__220302P04390000,56,8.20,54,8.50
13:34:00.000000000,0.89,0.11,,,SPXW__220302P04390000,18,8.50,34,8.70
13:35:00.000000000,0.61,0.25,0.06,0.08,SPXW__220302P04390000,23,8.70,6,8.90
13:36:00.000000000,0.74,0.08,,0.18,SPXW__220302P04390000,50,8.50,77,8.80
